sequence_id,mpnn_score,species,lambda_ANC,lambda_HUM,lambda_MOU,x,y
HUM_L14_7L8L_A_template,1.5098,HUM,0.2983,0.30557,0.39612,0.54527,0.25834
HUM_L14_7L8L_A_s1,0.8185,HUM,0.35058,0.33989,0.30953,0.48482,0.30361
HUM_L14_7L8L_A_s2,0.7719,HUM,0.3681,0.33356,0.29834,0.48239,0.31878
HUM_L14_7L8Q_A_template,1.5405,HUM,0.30754,0.31327,0.37919,0.53296,0.26634
HUM_L14_7L8Q_A_s1,0.8153,HUM,0.34738,0.31375,0.33887,0.51256,0.30084
HUM_L14_7L8Q_A_s2,0.7809,HUM,0.3602,0.31175,0.32804,0.50815,0.31194
HUM_L14_7U4I_B_template,1.5094,HUM,0.29967,0.31213,0.38821,0.53804,0.25952
HUM_L14_7U4I_B_s1,0.7783,HUM,0.34435,0.33671,0.31894,0.49111,0.29822
HUM_L14_7U4I_B_s2,0.8281,HUM,0.35155,0.3305,0.31796,0.49373,0.30445
HUM_L14_7U4J_A_template,1.5088,HUM,0.30774,0.30473,0.38754,0.5414,0.26651
HUM_L14_7U4J_A_s1,0.7752,HUM,0.35444,0.32113,0.32443,0.50165,0.30695
HUM_L14_7U4J_A_s2,0.7575,HUM,0.38114,0.31097,0.30789,0.49846,0.33008
HUM_L15_1GP1_A_template,1.3948,HUM,0.34854,0.30473,0.34674,0.521,0.30184
HUM_L15_1GP1_A_s1,0.8071,HUM,0.36213,0.30143,0.33644,0.5175,0.31361
HUM_L15_1GP1_A_s2,0.8055,HUM,0.36613,0.30806,0.32581,0.50888,0.31708
HUM_L15_2F8A_A_template,1.3829,HUM,0.35735,0.29651,0.34614,0.52482,0.30947
HUM_L15_2F8A_A_s1,0.7952,HUM,0.37377,0.28615,0.34008,0.52697,0.32369
HUM_L15_2F8A_A_s2,0.7831,HUM,0.37771,0.27683,0.34547,0.53432,0.3271
HUM_L15_2V1M_A_template,1.5168,HUM,0.33052,0.33001,0.33947,0.50473,0.28624
HUM_L15_2V1M_A_s1,0.829,HUM,0.3705,0.32376,0.30573,0.49099,0.32087
HUM_L15_2V1M_A_s2,0.7784,HUM,0.37346,0.29892,0.32762,0.51435,0.32343
HUM_L15_3CMI_A_template,1.5603,HUM,0.36401,0.30071,0.33528,0.51729,0.31524
HUM_L15_3CMI_A_s1,0.8228,HUM,0.41399,0.31187,0.27414,0.48114,0.35853
HUM_L15_3CMI_A_s2,0.8357,HUM,0.43132,0.32114,0.24754,0.4632,0.37354
HUM_L15_3E0U_A_template,1.6626,HUM,0.32127,0.33455,0.34418,0.50481,0.27823
HUM_L15_3E0U_A_s1,0.9152,HUM,0.27979,0.33488,0.38533,0.52522,0.24231
HUM_L15_3E0U_A_s2,0.9058,HUM,0.30779,0.34051,0.3517,0.50559,0.26655
HUM_L15_5H5Q_A_template,1.4651,HUM,0.30105,0.31991,0.37903,0.52956,0.26072
HUM_L15_5H5Q_A_s1,0.7403,HUM,0.34839,0.31679,0.33482,0.50902,0.30172
HUM_L15_5H5Q_A_s2,0.7089,HUM,0.33348,0.32247,0.34405,0.51079,0.2888
HUM_L15_5H5R_A_template,1.5332,HUM,0.29668,0.32763,0.37569,0.52403,0.25693
HUM_L15_5H5R_A_s1,0.754,HUM,0.3249,0.32812,0.34698,0.50943,0.28137
HUM_L15_5H5R_A_s2,0.7841,HUM,0.31211,0.33196,0.35593,0.51198,0.2703
HUM_L15_5H5S_A_template,1.4697,HUM,0.31017,0.31146,0.37837,0.53346,0.26861
HUM_L15_5H5S_A_s1,0.7364,HUM,0.34218,0.33055,0.32727,0.49836,0.29633
HUM_L15_5H5S_A_s2,0.7857,HUM,0.333,0.33221,0.33479,0.50129,0.28838
HUM_L15_6ELW_A_template,1.5008,HUM,0.29998,0.31926,0.38076,0.53075,0.25979
HUM_L15_6ELW_A_s1,0.8003,HUM,0.36768,0.27503,0.35729,0.54113,0.31842
HUM_L15_6ELW_A_s2,0.7566,HUM,0.36037,0.29444,0.34519,0.52537,0.31209
HUM_L15_6HKQ_A_template,1.5352,HUM,0.29917,0.31537,0.38545,0.53504,0.25909
HUM_L15_6HKQ_A_s1,0.8042,HUM,0.36148,0.30734,0.33118,0.51192,0.31305
HUM_L15_6HKQ_A_s2,0.8297,HUM,0.33555,0.33715,0.32729,0.49507,0.2906
HUM_L15_6HN3_A_template,1.5308,HUM,0.30382,0.313,0.38318,0.53509,0.26311
HUM_L15_6HN3_A_s1,0.7823,HUM,0.36345,0.32113,0.31541,0.49714,0.31476
HUM_L15_6HN3_A_s2,0.7567,HUM,0.34126,0.34301,0.31573,0.48636,0.29554
HUM_L15_6VPD_A_template,1.5968,HUM,0.32961,0.28007,0.39033,0.55513,0.28545
HUM_L15_6VPD_A_s1,0.8297,HUM,0.31054,0.35315,0.33631,0.49158,0.26893
HUM_L15_6VPD_A_s2,0.8495,HUM,0.36349,0.29564,0.34087,0.52262,0.31479
HUM_L15_7L8L_A_template,1.5098,HUM,0.2983,0.30557,0.39612,0.54527,0.25834
HUM_L15_7L8L_A_s1,0.8185,HUM,0.35058,0.33989,0.30953,0.48482,0.30361
HUM_L15_7L8L_A_s2,0.7719,HUM,0.3681,0.33356,0.29834,0.48239,0.31878
HUM_L15_7L8Q_A_template,1.5405,HUM,0.30754,0.31327,0.37919,0.53296,0.26634
HUM_L15_7L8Q_A_s1,0.8153,HUM,0.34738,0.31375,0.33887,0.51256,0.30084
HUM_L15_7L8Q_A_s2,0.7809,HUM,0.3602,0.31175,0.32804,0.50815,0.31194
HUM_L15_7U4I_B_template,1.5094,HUM,0.29967,0.31213,0.38821,0.53804,0.25952
HUM_L15_7U4I_B_s1,0.7783,HUM,0.34435,0.33671,0.31894,0.49111,0.29822
HUM_L15_7U4I_B_s2,0.8281,HUM,0.35155,0.3305,0.31796,0.49373,0.30445
HUM_L15_7U4J_A_template,1.5088,HUM,0.30774,0.30473,0.38754,0.5414,0.26651
HUM_L15_7U4J_A_s1,0.7752,HUM,0.35444,0.32113,0.32443,0.50165,0.30695
HUM_L15_7U4J_A_s2,0.7575,HUM,0.38114,0.31097,0.30789,0.49846,0.33008
HUM_L16_1GP1_A_template,1.3948,HUM,0.34854,0.30473,0.34674,0.521,0.30184
HUM_L16_1GP1_A_s1,0.8071,HUM,0.36213,0.30143,0.33644,0.5175,0.31361
HUM_L16_1GP1_A_s2,0.8055,HUM,0.36613,0.30806,0.32581,0.50888,0.31708
HUM_L16_2F8A_A_template,1.3829,HUM,0.35735,0.29651,0.34614,0.52482,0.30947
HUM_L16_2F8A_A_s1,0.7952,HUM,0.37377,0.28615,0.34008,0.52697,0.32369
HUM_L16_2F8A_A_s2,0.7831,HUM,0.37771,0.27683,0.34547,0.53432,0.3271
HUM_L16_2V1M_A_template,1.5168,HUM,0.33052,0.33001,0.33947,0.50473,0.28624
HUM_L16_2V1M_A_s1,0.829,HUM,0.3705,0.32376,0.30573,0.49099,0.32087
HUM_L16_2V1M_A_s2,0.7784,HUM,0.37346,0.29892,0.32762,0.51435,0.32343
HUM_L16_3CMI_A_template,1.5603,HUM,0.36401,0.30071,0.33528,0.51729,0.31524
HUM_L16_3CMI_A_s1,0.8228,HUM,0.41399,0.31187,0.27414,0.48114,0.35853
HUM_L16_3CMI_A_s2,0.8357,HUM,0.43132,0.32114,0.24754,0.4632,0.37354
HUM_L16_3E0U_A_template,1.6626,HUM,0.32127,0.33455,0.34418,0.50481,0.27823
HUM_L16_3E0U_A_s1,0.9152,HUM,0.27979,0.33488,0.38533,0.52522,0.24231
HUM_L16_3E0U_A_s2,0.9058,HUM,0.30779,0.34051,0.3517,0.50559,0.26655
HUM_L16_5H5Q_A_template,1.4651,HUM,0.30105,0.31991,0.37903,0.52956,0.26072
HUM_L16_5H5Q_A_s1,0.7403,HUM,0.34839,0.31679,0.33482,0.50902,0.30172
HUM_L16_5H5Q_A_s2,0.7089,HUM,0.33348,0.32247,0.34405,0.51079,0.2888
HUM_L16_5H5R_A_template,1.5332,HUM,0.29668,0.32763,0.37569,0.52403,0.25693
HUM_L16_5H5R_A_s1,0.754,HUM,0.3249,0.32812,0.34698,0.50943,0.28137
HUM_L16_5H5R_A_s2,0.7841,HUM,0.31211,0.33196,0.35593,0.51198,0.2703
HUM_L16_5H5S_A_template,1.4697,HUM,0.31017,0.31146,0.37837,0.53346,0.26861
HUM_L16_5H5S_A_s1,0.7364,HUM,0.34218,0.33055,0.32727,0.49836,0.29633
HUM_L16_5H5S_A_s2,0.7857,HUM,0.333,0.33221,0.33479,0.50129,0.28838
HUM_L16_6ELW_A_template,1.5008,HUM,0.29998,0.31926,0.38076,0.53075,0.25979
HUM_L16_6ELW_A_s1,0.8003,HUM,0.36768,0.27503,0.35729,0.54113,0.31842
HUM_L16_6ELW_A_s2,0.7566,HUM,0.36037,0.29444,0.34519,0.52537,0.31209
HUM_L16_6HKQ_A_template,1.5352,HUM,0.29917,0.31537,0.38545,0.53504,0.25909
HUM_L16_6HKQ_A_s1,0.8042,HUM,0.36148,0.30734,0.33118,0.51192,0.31305
HUM_L16_6HKQ_A_s2,0.8297,HUM,0.33555,0.33715,0.32729,0.49507,0.2906
HUM_L16_6HN3_A_template,1.5308,HUM,0.30382,0.313,0.38318,0.53509,0.26311
HUM_L16_6HN3_A_s1,0.7823,HUM,0.36345,0.32113,0.31541,0.49714,0.31476
HUM_L16_6HN3_A_s2,0.7567,HUM,0.34126,0.34301,0.31573,0.48636,0.29554
HUM_L16_6VPD_A_template,1.5968,HUM,0.32961,0.28007,0.39033,0.55513,0.28545
HUM_L16_6VPD_A_s1,0.8297,HUM,0.31054,0.35315,0.33631,0.49158,0.26893
HUM_L16_6VPD_A_s2,0.8495,HUM,0.36349,0.29564,0.34087,0.52262,0.31479
HUM_L16_7L8L_A_template,1.5098,HUM,0.2983,0.30557,0.39612,0.54527,0.25834
HUM_L16_7L8L_A_s1,0.8185,HUM,0.35058,0.33989,0.30953,0.48482,0.30361
HUM_L16_7L8L_A_s2,0.7719,HUM,0.3681,0.33356,0.29834,0.48239,0.31878
HUM_L16_7L8Q_A_template,1.5405,HUM,0.30754,0.31327,0.37919,0.53296,0.26634
HUM_L16_7L8Q_A_s1,0.8153,HUM,0.34738,0.31375,0.33887,0.51256,0.30084
HUM_L16_7L8Q_A_s2,0.7809,HUM,0.3602,0.31175,0.32804,0.50815,0.31194
HUM_L16_7U4I_B_template,1.5094,HUM,0.29967,0.31213,0.38821,0.53804,0.25952
HUM_L16_7U4I_B_s1,0.7783,HUM,0.34435,0.33671,0.31894,0.49111,0.29822
HUM_L16_7U4I_B_s2,0.8281,HUM,0.35155,0.3305,0.31796,0.49373,0.30445
HUM_L16_7U4J_A_template,1.5088,HUM,0.30774,0.30473,0.38754,0.5414,0.26651
HUM_L16_7U4J_A_s1,0.7752,HUM,0.35444,0.32113,0.32443,0.50165,0.30695
HUM_L16_7U4J_A_s2,0.7575,HUM,0.38114,0.31097,0.30789,0.49846,0.33008
HUM_L17_1GP1_A_template,1.3948,HUM,0.34854,0.30473,0.34674,0.521,0.30184
HUM_L17_1GP1_A_s1,0.8071,HUM,0.36213,0.30143,0.33644,0.5175,0.31361
HUM_L17_1GP1_A_s2,0.8055,HUM,0.36613,0.30806,0.32581,0.50888,0.31708
HUM_L17_2F8A_A_template,1.3829,HUM,0.35735,0.29651,0.34614,0.52482,0.30947
HUM_L17_2F8A_A_s1,0.7952,HUM,0.37377,0.28615,0.34008,0.52697,0.32369
HUM_L17_2F8A_A_s2,0.7831,HUM,0.37771,0.27683,0.34547,0.53432,0.3271
HUM_L17_2V1M_A_template,1.5168,HUM,0.33052,0.33001,0.33947,0.50473,0.28624
HUM_L17_2V1M_A_s1,0.829,HUM,0.3705,0.32376,0.30573,0.49099,0.32087
HUM_L17_2V1M_A_s2,0.7784,HUM,0.37346,0.29892,0.32762,0.51435,0.32343
HUM_L17_3CMI_A_template,1.5603,HUM,0.36401,0.30071,0.33528,0.51729,0.31524
HUM_L17_3CMI_A_s1,0.8228,HUM,0.41399,0.31187,0.27414,0.48114,0.35853
HUM_L17_3CMI_A_s2,0.8357,HUM,0.43132,0.32114,0.24754,0.4632,0.37354
HUM_L17_3E0U_A_template,1.6626,HUM,0.32127,0.33455,0.34418,0.50481,0.27823
HUM_L17_3E0U_A_s1,0.9152,HUM,0.27979,0.33488,0.38533,0.52522,0.24231
HUM_L17_3E0U_A_s2,0.9058,HUM,0.30779,0.34051,0.3517,0.50559,0.26655
HUM_L17_5H5Q_A_template,1.4651,HUM,0.30105,0.31991,0.37903,0.52956,0.26072
HUM_L17_5H5Q_A_s1,0.7403,HUM,0.34839,0.31679,0.33482,0.50902,0.30172
HUM_L17_5H5Q_A_s2,0.7089,HUM,0.33348,0.32247,0.34405,0.51079,0.2888
HUM_L17_5H5R_A_template,1.5332,HUM,0.29668,0.32763,0.37569,0.52403,0.25693
HUM_L17_5H5R_A_s1,0.754,HUM,0.3249,0.32812,0.34698,0.50943,0.28137
HUM_L17_5H5R_A_s2,0.7841,HUM,0.31211,0.33196,0.35593,0.51198,0.2703
HUM_L17_5H5S_A_template,1.4697,HUM,0.31017,0.31146,0.37837,0.53346,0.26861
HUM_L17_5H5S_A_s1,0.7364,HUM,0.34218,0.33055,0.32727,0.49836,0.29633
HUM_L17_5H5S_A_s2,0.7857,HUM,0.333,0.33221,0.33479,0.50129,0.28838
HUM_L17_6ELW_A_template,1.5008,HUM,0.29998,0.31926,0.38076,0.53075,0.25979
HUM_L17_6ELW_A_s1,0.8003,HUM,0.36768,0.27503,0.35729,0.54113,0.31842
HUM_L17_6ELW_A_s2,0.7566,HUM,0.36037,0.29444,0.34519,0.52537,0.31209
HUM_L17_6HKQ_A_template,1.5352,HUM,0.29917,0.31537,0.38545,0.53504,0.25909
HUM_L17_6HKQ_A_s1,0.8042,HUM,0.36148,0.30734,0.33118,0.51192,0.31305
HUM_L17_6HKQ_A_s2,0.8297,HUM,0.33555,0.33715,0.32729,0.49507,0.2906
HUM_L17_6HN3_A_template,1.5308,HUM,0.30382,0.313,0.38318,0.53509,0.26311
HUM_L17_6HN3_A_s1,0.7823,HUM,0.36345,0.32113,0.31541,0.49714,0.31476
HUM_L17_6HN3_A_s2,0.7567,HUM,0.34126,0.34301,0.31573,0.48636,0.29554
HUM_L17_6VPD_A_template,1.5968,HUM,0.32961,0.28007,0.39033,0.55513,0.28545
HUM_L17_6VPD_A_s1,0.8297,HUM,0.31054,0.35315,0.33631,0.49158,0.26893
HUM_L17_6VPD_A_s2,0.8495,HUM,0.36349,0.29564,0.34087,0.52262,0.31479
HUM_L17_7L8L_A_template,1.5098,HUM,0.2983,0.30557,0.39612,0.54527,0.25834
HUM_L17_7L8L_A_s1,0.8185,HUM,0.35058,0.33989,0.30953,0.48482,0.30361
HUM_L17_7L8L_A_s2,0.7719,HUM,0.3681,0.33356,0.29834,0.48239,0.31878
HUM_L17_7L8Q_A_template,1.5405,HUM,0.30754,0.31327,0.37919,0.53296,0.26634
HUM_L17_7L8Q_A_s1,0.8153,HUM,0.34738,0.31375,0.33887,0.51256,0.30084
HUM_L17_7L8Q_A_s2,0.7809,HUM,0.3602,0.31175,0.32804,0.50815,0.31194
HUM_L17_7U4I_B_template,1.5094,HUM,0.29967,0.31213,0.38821,0.53804,0.25952
HUM_L17_7U4I_B_s1,0.7783,HUM,0.34435,0.33671,0.31894,0.49111,0.29822
HUM_L17_7U4I_B_s2,0.8281,HUM,0.35155,0.3305,0.31796,0.49373,0.30445
HUM_L17_7U4J_A_template,1.5088,HUM,0.30774,0.30473,0.38754,0.5414,0.26651
HUM_L17_7U4J_A_s1,0.7752,HUM,0.35444,0.32113,0.32443,0.50165,0.30695
HUM_L17_7U4J_A_s2,0.7575,HUM,0.38114,0.31097,0.30789,0.49846,0.33008
HUM_L18_1GP1_A_template,1.3948,HUM,0.34854,0.30473,0.34674,0.521,0.30184
HUM_L18_1GP1_A_s1,0.8071,HUM,0.36213,0.30143,0.33644,0.5175,0.31361
HUM_L18_1GP1_A_s2,0.8055,HUM,0.36613,0.30806,0.32581,0.50888,0.31708
HUM_L18_2F8A_A_template,1.3829,HUM,0.35735,0.29651,0.34614,0.52482,0.30947
HUM_L18_2F8A_A_s1,0.7952,HUM,0.37377,0.28615,0.34008,0.52697,0.32369
HUM_L18_2F8A_A_s2,0.7831,HUM,0.37771,0.27683,0.34547,0.53432,0.3271
HUM_L18_2V1M_A_template,1.5168,HUM,0.33052,0.33001,0.33947,0.50473,0.28624
HUM_L18_2V1M_A_s1,0.829,HUM,0.3705,0.32376,0.30573,0.49099,0.32087
HUM_L18_2V1M_A_s2,0.7784,HUM,0.37346,0.29892,0.32762,0.51435,0.32343
HUM_L18_3CMI_A_template,1.5603,HUM,0.36401,0.30071,0.33528,0.51729,0.31524
HUM_L18_3CMI_A_s1,0.8228,HUM,0.41399,0.31187,0.27414,0.48114,0.35853
HUM_L18_3CMI_A_s2,0.8357,HUM,0.43132,0.32114,0.24754,0.4632,0.37354
HUM_L18_3E0U_A_template,1.6626,HUM,0.32127,0.33455,0.34418,0.50481,0.27823
HUM_L18_3E0U_A_s1,0.9152,HUM,0.27979,0.33488,0.38533,0.52522,0.24231
HUM_L18_3E0U_A_s2,0.9058,HUM,0.30779,0.34051,0.3517,0.50559,0.26655
HUM_L18_5H5Q_A_template,1.4651,HUM,0.30105,0.31991,0.37903,0.52956,0.26072
HUM_L18_5H5Q_A_s1,0.7403,HUM,0.34839,0.31679,0.33482,0.50902,0.30172
HUM_L18_5H5Q_A_s2,0.7089,HUM,0.33348,0.32247,0.34405,0.51079,0.2888
HUM_L18_5H5R_A_template,1.5332,HUM,0.29668,0.32763,0.37569,0.52403,0.25693
HUM_L18_5H5R_A_s1,0.754,HUM,0.3249,0.32812,0.34698,0.50943,0.28137
HUM_L18_5H5R_A_s2,0.7841,HUM,0.31211,0.33196,0.35593,0.51198,0.2703
HUM_L18_5H5S_A_template,1.4697,HUM,0.31017,0.31146,0.37837,0.53346,0.26861
HUM_L18_5H5S_A_s1,0.7364,HUM,0.34218,0.33055,0.32727,0.49836,0.29633
HUM_L18_5H5S_A_s2,0.7857,HUM,0.333,0.33221,0.33479,0.50129,0.28838
HUM_L18_6ELW_A_template,1.5008,HUM,0.29998,0.31926,0.38076,0.53075,0.25979
HUM_L18_6ELW_A_s1,0.8003,HUM,0.36768,0.27503,0.35729,0.54113,0.31842
HUM_L18_6ELW_A_s2,0.7566,HUM,0.36037,0.29444,0.34519,0.52537,0.31209
HUM_L18_6HKQ_A_template,1.5352,HUM,0.29917,0.31537,0.38545,0.53504,0.25909
HUM_L18_6HKQ_A_s1,0.8042,HUM,0.36148,0.30734,0.33118,0.51192,0.31305
HUM_L18_6HKQ_A_s2,0.8297,HUM,0.33555,0.33715,0.32729,0.49507,0.2906
HUM_L18_6HN3_A_template,1.5308,HUM,0.30382,0.313,0.38318,0.53509,0.26311
HUM_L18_6HN3_A_s1,0.7823,HUM,0.36345,0.32113,0.31541,0.49714,0.31476
HUM_L18_6HN3_A_s2,0.7567,HUM,0.34126,0.34301,0.31573,0.48636,0.29554
HUM_L18_6VPD_A_template,1.5968,HUM,0.32961,0.28007,0.39033,0.55513,0.28545
HUM_L18_6VPD_A_s1,0.8297,HUM,0.31054,0.35315,0.33631,0.49158,0.26893
HUM_L18_6VPD_A_s2,0.8495,HUM,0.36349,0.29564,0.34087,0.52262,0.31479
HUM_L18_7L8L_A_template,1.5098,HUM,0.2983,0.30557,0.39612,0.54527,0.25834
HUM_L18_7L8L_A_s1,0.8185,HUM,0.35058,0.33989,0.30953,0.48482,0.30361
HUM_L18_7L8L_A_s2,0.7719,HUM,0.3681,0.33356,0.29834,0.48239,0.31878
HUM_L18_7L8Q_A_template,1.5405,HUM,0.30754,0.31327,0.37919,0.53296,0.26634
HUM_L18_7L8Q_A_s1,0.8153,HUM,0.34738,0.31375,0.33887,0.51256,0.30084
HUM_L18_7L8Q_A_s2,0.7809,HUM,0.3602,0.31175,0.32804,0.50815,0.31194
HUM_L18_7U4I_B_template,1.5094,HUM,0.29967,0.31213,0.38821,0.53804,0.25952
HUM_L18_7U4I_B_s1,0.7783,HUM,0.34435,0.33671,0.31894,0.49111,0.29822
HUM_L18_7U4I_B_s2,0.8281,HUM,0.35155,0.3305,0.31796,0.49373,0.30445
HUM_L18_7U4J_A_template,1.5088,HUM,0.30774,0.30473,0.38754,0.5414,0.26651
HUM_L18_7U4J_A_s1,0.7752,HUM,0.35444,0.32113,0.32443,0.50165,0.30695
HUM_L18_7U4J_A_s2,0.7575,HUM,0.38114,0.31097,0.30789,0.49846,0.33008
HUM_L19_1GP1_A_template,1.3948,HUM,0.34854,0.30473,0.34674,0.521,0.30184
HUM_L19_1GP1_A_s1,0.8071,HUM,0.36213,0.30143,0.33644,0.5175,0.31361
HUM_L19_1GP1_A_s2,0.8055,HUM,0.36613,0.30806,0.32581,0.50888,0.31708
HUM_L19_2F8A_A_template,1.3829,HUM,0.35735,0.29651,0.34614,0.52482,0.30947
HUM_L19_2F8A_A_s1,0.7952,HUM,0.37377,0.28615,0.34008,0.52697,0.32369
HUM_L19_2F8A_A_s2,0.7831,HUM,0.37771,0.27683,0.34547,0.53432,0.3271
HUM_L19_2V1M_A_template,1.5168,HUM,0.33052,0.33001,0.33947,0.50473,0.28624
HUM_L19_2V1M_A_s1,0.829,HUM,0.3705,0.32376,0.30573,0.49099,0.32087
HUM_L19_2V1M_A_s2,0.7784,HUM,0.37346,0.29892,0.32762,0.51435,0.32343
HUM_L19_3CMI_A_template,1.5603,HUM,0.36401,0.30071,0.33528,0.51729,0.31524
HUM_L19_3CMI_A_s1,0.8228,HUM,0.41399,0.31187,0.27414,0.48114,0.35853
HUM_L19_3CMI_A_s2,0.8357,HUM,0.43132,0.32114,0.24754,0.4632,0.37354
HUM_L19_3E0U_A_template,1.6626,HUM,0.32127,0.33455,0.34418,0.50481,0.27823
HUM_L19_3E0U_A_s1,0.9152,HUM,0.27979,0.33488,0.38533,0.52522,0.24231
HUM_L19_3E0U_A_s2,0.9058,HUM,0.30779,0.34051,0.3517,0.50559,0.26655
HUM_L19_5H5Q_A_template,1.4651,HUM,0.30105,0.31991,0.37903,0.52956,0.26072
HUM_L19_5H5Q_A_s1,0.7403,HUM,0.34839,0.31679,0.33482,0.50902,0.30172
HUM_L19_5H5Q_A_s2,0.7089,HUM,0.33348,0.32247,0.34405,0.51079,0.2888
HUM_L19_5H5R_A_template,1.5332,HUM,0.29668,0.32763,0.37569,0.52403,0.25693
HUM_L19_5H5R_A_s1,0.754,HUM,0.3249,0.32812,0.34698,0.50943,0.28137
HUM_L19_5H5R_A_s2,0.7841,HUM,0.31211,0.33196,0.35593,0.51198,0.2703
HUM_L19_5H5S_A_template,1.4697,HUM,0.31017,0.31146,0.37837,0.53346,0.26861
HUM_L19_5H5S_A_s1,0.7364,HUM,0.34218,0.33055,0.32727,0.49836,0.29633
HUM_L19_5H5S_A_s2,0.7857,HUM,0.333,0.33221,0.33479,0.50129,0.28838
HUM_L19_6ELW_A_template,1.5008,HUM,0.29998,0.31926,0.38076,0.53075,0.25979
HUM_L19_6ELW_A_s1,0.8003,HUM,0.36768,0.27503,0.35729,0.54113,0.31842
HUM_L19_6ELW_A_s2,0.7566,HUM,0.36037,0.29444,0.34519,0.52537,0.31209
HUM_L19_6HKQ_A_template,1.5352,HUM,0.29917,0.31537,0.38545,0.53504,0.25909
HUM_L19_6HKQ_A_s1,0.8042,HUM,0.36148,0.30734,0.33118,0.51192,0.31305
HUM_L19_6HKQ_A_s2,0.8297,HUM,0.33555,0.33715,0.32729,0.49507,0.2906
HUM_L19_6HN3_A_template,1.5308,HUM,0.30382,0.313,0.38318,0.53509,0.26311
HUM_L19_6HN3_A_s1,0.7823,HUM,0.36345,0.32113,0.31541,0.49714,0.31476
HUM_L19_6HN3_A_s2,0.7567,HUM,0.34126,0.34301,0.31573,0.48636,0.29554
HUM_L19_6VPD_A_template,1.5968,HUM,0.32961,0.28007,0.39033,0.55513,0.28545
HUM_L19_6VPD_A_s1,0.8297,HUM,0.31054,0.35315,0.33631,0.49158,0.26893
HUM_L19_6VPD_A_s2,0.8495,HUM,0.36349,0.29564,0.34087,0.52262,0.31479
HUM_L19_7L8L_A_template,1.5098,HUM,0.2983,0.30557,0.39612,0.54527,0.25834
HUM_L19_7L8L_A_s1,0.8185,HUM,0.35058,0.33989,0.30953,0.48482,0.30361
HUM_L19_7L8L_A_s2,0.7719,HUM,0.3681,0.33356,0.29834,0.48239,0.31878
HUM_L19_7L8Q_A_template,1.5405,HUM,0.30754,0.31327,0.37919,0.53296,0.26634
HUM_L19_7L8Q_A_s1,0.8153,HUM,0.34738,0.31375,0.33887,0.51256,0.30084
HUM_L19_7L8Q_A_s2,0.7809,HUM,0.3602,0.31175,0.32804,0.50815,0.31194
HUM_L19_7U4I_B_template,1.5094,HUM,0.29967,0.31213,0.38821,0.53804,0.25952
HUM_L19_7U4I_B_s1,0.7783,HUM,0.34435,0.33671,0.31894,0.49111,0.29822
HUM_L19_7U4I_B_s2,0.8281,HUM,0.35155,0.3305,0.31796,0.49373,0.30445
HUM_L19_7U4J_A_template,1.5088,HUM,0.30774,0.30473,0.38754,0.5414,0.26651
HUM_L19_7U4J_A_s1,0.7752,HUM,0.35444,0.32113,0.32443,0.50165,0.30695
HUM_L19_7U4J_A_s2,0.7575,HUM,0.38114,0.31097,0.30789,0.49846,0.33008
HUM_WT_1GP1_A_template,1.3948,HUM,0.34854,0.30473,0.34674,0.521,0.30184
HUM_WT_1GP1_A_s1,0.8071,HUM,0.36213,0.30143,0.33644,0.5175,0.31361
HUM_WT_1GP1_A_s2,0.8055,HUM,0.36613,0.30806,0.32581,0.50888,0.31708
HUM_WT_2F8A_A_template,1.3829,HUM,0.35735,0.29651,0.34614,0.52482,0.30947
HUM_WT_2F8A_A_s1,0.7952,HUM,0.37377,0.28615,0.34008,0.52697,0.32369
HUM_WT_2F8A_A_s2,0.7831,HUM,0.37771,0.27683,0.34547,0.53432,0.3271
HUM_WT_2V1M_A_template,1.5168,HUM,0.33052,0.33001,0.33947,0.50473,0.28624
HUM_WT_2V1M_A_s1,0.829,HUM,0.3705,0.32376,0.30573,0.49099,0.32087
HUM_WT_2V1M_A_s2,0.7784,HUM,0.37346,0.29892,0.32762,0.51435,0.32343
HUM_WT_3CMI_A_template,1.5603,HUM,0.36401,0.30071,0.33528,0.51729,0.31524
HUM_WT_3CMI_A_s1,0.8228,HUM,0.41399,0.31187,0.27414,0.48114,0.35853
HUM_WT_3CMI_A_s2,0.8357,HUM,0.43132,0.32114,0.24754,0.4632,0.37354
HUM_WT_3E0U_A_template,1.6626,HUM,0.32127,0.33455,0.34418,0.50481,0.27823
HUM_WT_3E0U_A_s1,0.9152,HUM,0.27979,0.33488,0.38533,0.52522,0.24231
HUM_WT_3E0U_A_s2,0.9058,HUM,0.30779,0.34051,0.3517,0.50559,0.26655
HUM_WT_6VPD_A_template,1.5968,HUM,0.32961,0.28007,0.39033,0.55513,0.28545
HUM_WT_6VPD_A_s1,0.8297,HUM,0.31054,0.35315,0.33631,0.49158,0.26893
HUM_WT_6VPD_A_s2,0.8495,HUM,0.36349,0.29564,0.34087,0.52262,0.31479
MOU_L01_1GP1_A_template,1.3948,MOU,0.34854,0.30473,0.34674,0.521,0.30184
MOU_L01_1GP1_A_s1,0.8071,MOU,0.36213,0.30143,0.33644,0.5175,0.31361
MOU_L01_1GP1_A_s2,0.8055,MOU,0.36613,0.30806,0.32581,0.50888,0.31708
MOU_L01_2F8A_A_template,1.3829,MOU,0.35735,0.29651,0.34614,0.52482,0.30947
MOU_L01_2F8A_A_s1,0.7952,MOU,0.37377,0.28615,0.34008,0.52697,0.32369
